module_number,concept,recommended_action,wps_task_id,source_file,rapids_code,variant,source_table_index,source_row_index,task_raw
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R13_X,wps_competency_2074.docx,2074CB,competency_based,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R14_X,wps_competency_2074.docx,2074CB,competency_based,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R15_X,wps_competency_2074.docx,2074CB,competency_based,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R16_X,wps_competency_2074.docx,2074CB,competency_based,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R17_X,wps_competency_2074.docx,2074CB,competency_based,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R18_X,wps_competency_2074.docx,2074CB,competency_based,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R19_X,wps_competency_2074.docx,2074CB,competency_based,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R20_X,wps_competency_2074.docx,2074CB,competency_based,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R21_X,wps_competency_2074.docx,2074CB,competency_based,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R22_X,wps_competency_2074.docx,2074CB,competency_based,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R23_X,wps_competency_2074.docx,2074CB,competency_based,40,23,Total
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R02_X,wps_competency_3056.docx,3056CB,competency_based,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R03_X,wps_competency_3056.docx,3056CB,competency_based,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R04_X,wps_competency_3056.docx,3056CB,competency_based,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R05_X,wps_competency_3056.docx,3056CB,competency_based,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R06_X,wps_competency_3056.docx,3056CB,competency_based,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R07_X,wps_competency_3056.docx,3056CB,competency_based,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R08_X,wps_competency_3056.docx,3056CB,competency_based,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R09_X,wps_competency_3056.docx,3056CB,competency_based,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R10_X,wps_competency_3056.docx,3056CB,competency_based,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R11_X,wps_competency_3056.docx,3056CB,competency_based,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R12_X,wps_competency_3056.docx,3056CB,competency_based,40,12,51.3815
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R13_X,wps_competency_3056.docx,3056CB,competency_based,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R14_X,wps_competency_3056.docx,3056CB,competency_based,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R15_X,wps_competency_3056.docx,3056CB,competency_based,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R16_X,wps_competency_3056.docx,3056CB,competency_based,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R17_X,wps_competency_3056.docx,3056CB,competency_based,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R18_X,wps_competency_3056.docx,3056CB,competency_based,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R19_X,wps_competency_3056.docx,3056CB,competency_based,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R20_X,wps_competency_3056.docx,3056CB,competency_based,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R21_X,wps_competency_3056.docx,3056CB,competency_based,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R22_X,wps_competency_3056.docx,3056CB,competency_based,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056CB_COMPETENCY_BASED_T40_R23_X,wps_competency_3056.docx,3056CB,competency_based,40,23,Total
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R02_X,wps_hybrid_2074.docx,2074HY,hybrid,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R03_X,wps_hybrid_2074.docx,2074HY,hybrid,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R04_X,wps_hybrid_2074.docx,2074HY,hybrid,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R05_X,wps_hybrid_2074.docx,2074HY,hybrid,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R06_X,wps_hybrid_2074.docx,2074HY,hybrid,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R07_X,wps_hybrid_2074.docx,2074HY,hybrid,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R08_X,wps_hybrid_2074.docx,2074HY,hybrid,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R09_X,wps_hybrid_2074.docx,2074HY,hybrid,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R10_X,wps_hybrid_2074.docx,2074HY,hybrid,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R11_X,wps_hybrid_2074.docx,2074HY,hybrid,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R12_X,wps_hybrid_2074.docx,2074HY,hybrid,40,12,51.3815
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R13_X,wps_hybrid_2074.docx,2074HY,hybrid,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R14_X,wps_hybrid_2074.docx,2074HY,hybrid,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R15_X,wps_hybrid_2074.docx,2074HY,hybrid,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R16_X,wps_hybrid_2074.docx,2074HY,hybrid,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R17_X,wps_hybrid_2074.docx,2074HY,hybrid,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R18_X,wps_hybrid_2074.docx,2074HY,hybrid,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R19_X,wps_hybrid_2074.docx,2074HY,hybrid,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R20_X,wps_hybrid_2074.docx,2074HY,hybrid,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R21_X,wps_hybrid_2074.docx,2074HY,hybrid,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R22_X,wps_hybrid_2074.docx,2074HY,hybrid,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074HY_HYBRID_T40_R23_X,wps_hybrid_2074.docx,2074HY,hybrid,40,23,Total
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R02_X,wps_hybrid_3056.docx,3056HY,hybrid,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R03_X,wps_hybrid_3056.docx,3056HY,hybrid,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R04_X,wps_hybrid_3056.docx,3056HY,hybrid,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R05_X,wps_hybrid_3056.docx,3056HY,hybrid,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R06_X,wps_hybrid_3056.docx,3056HY,hybrid,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R07_X,wps_hybrid_3056.docx,3056HY,hybrid,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R08_X,wps_hybrid_3056.docx,3056HY,hybrid,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R09_X,wps_hybrid_3056.docx,3056HY,hybrid,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R10_X,wps_hybrid_3056.docx,3056HY,hybrid,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R11_X,wps_hybrid_3056.docx,3056HY,hybrid,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R12_X,wps_hybrid_3056.docx,3056HY,hybrid,40,12,51.3815
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R13_X,wps_hybrid_3056.docx,3056HY,hybrid,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R14_X,wps_hybrid_3056.docx,3056HY,hybrid,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R15_X,wps_hybrid_3056.docx,3056HY,hybrid,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R16_X,wps_hybrid_3056.docx,3056HY,hybrid,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R17_X,wps_hybrid_3056.docx,3056HY,hybrid,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R18_X,wps_hybrid_3056.docx,3056HY,hybrid,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R19_X,wps_hybrid_3056.docx,3056HY,hybrid,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R20_X,wps_hybrid_3056.docx,3056HY,hybrid,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R21_X,wps_hybrid_3056.docx,3056HY,hybrid,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R22_X,wps_hybrid_3056.docx,3056HY,hybrid,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056HY_HYBRID_T40_R23_X,wps_hybrid_3056.docx,3056HY,hybrid,40,23,Total
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R02_X,wps_time_2074.docx,2074,time_based,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R03_X,wps_time_2074.docx,2074,time_based,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R04_X,wps_time_2074.docx,2074,time_based,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R05_X,wps_time_2074.docx,2074,time_based,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R06_X,wps_time_2074.docx,2074,time_based,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R07_X,wps_time_2074.docx,2074,time_based,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R08_X,wps_time_2074.docx,2074,time_based,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R09_X,wps_time_2074.docx,2074,time_based,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R10_X,wps_time_2074.docx,2074,time_based,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R11_X,wps_time_2074.docx,2074,time_based,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R12_X,wps_time_2074.docx,2074,time_based,40,12,51.3815
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R13_X,wps_time_2074.docx,2074,time_based,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R14_X,wps_time_2074.docx,2074,time_based,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R15_X,wps_time_2074.docx,2074,time_based,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R16_X,wps_time_2074.docx,2074,time_based,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R17_X,wps_time_2074.docx,2074,time_based,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R18_X,wps_time_2074.docx,2074,time_based,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R19_X,wps_time_2074.docx,2074,time_based,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R20_X,wps_time_2074.docx,2074,time_based,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R21_X,wps_time_2074.docx,2074,time_based,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R22_X,wps_time_2074.docx,2074,time_based,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074_TIME_BASED_T40_R23_X,wps_time_2074.docx,2074,time_based,40,23,Total
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R02_X,wps_time_3056.docx,3056,time_based,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R03_X,wps_time_3056.docx,3056,time_based,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R04_X,wps_time_3056.docx,3056,time_based,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R05_X,wps_time_3056.docx,3056,time_based,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R06_X,wps_time_3056.docx,3056,time_based,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R07_X,wps_time_3056.docx,3056,time_based,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R08_X,wps_time_3056.docx,3056,time_based,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R09_X,wps_time_3056.docx,3056,time_based,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R10_X,wps_time_3056.docx,3056,time_based,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R11_X,wps_time_3056.docx,3056,time_based,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R12_X,wps_time_3056.docx,3056,time_based,40,12,51.3815
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R13_X,wps_time_3056.docx,3056,time_based,40,13,51.3821
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R14_X,wps_time_3056.docx,3056,time_based,40,14,51.3816
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R15_X,wps_time_3056.docx,3056,time_based,40,15,51.3814
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R16_X,wps_time_3056.docx,3056,time_based,40,16,51.3819
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R17_X,wps_time_3056.docx,3056,time_based,40,17,51.3822
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R18_X,wps_time_3056.docx,3056,time_based,40,18,51.3808
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R19_X,wps_time_3056.docx,3056,time_based,40,19,51.3824
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R20_X,wps_time_3056.docx,3056,time_based,40,20,51.3811
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R21_X,wps_time_3056.docx,3056,time_based,40,21,51.3813
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R22_X,wps_time_3056.docx,3056,time_based,40,22,51.3809
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_3056_TIME_BASED_T40_R23_X,wps_time_3056.docx,3056,time_based,40,23,Total
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_2074CB_COMPETENCY_BASED_T29_R03_A,wps_competency_2074.docx,2074CB,competency_based,29,3,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_3056CB_COMPETENCY_BASED_T29_R03_A,wps_competency_3056.docx,3056CB,competency_based,29,3,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_2074HY_HYBRID_T29_R02_A,wps_hybrid_2074.docx,2074HY,hybrid,29,2,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_3056HY_HYBRID_T29_R02_A,wps_hybrid_3056.docx,3056HY,hybrid,29,2,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_2074_TIME_BASED_T29_R02_A,wps_time_2074.docx,2074,time_based,29,2,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-002,Administer anesthetics or sedatives to control pain.,mapping_review_required,WPS_3056_TIME_BASED_T29_R02_A,wps_time_3056.docx,3056,time_based,29,2,"A. Administer local, inhalation, intravenous, or other anesthetics."
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_2074CB_COMPETENCY_BASED_T04_R03_A,wps_competency_2074.docx,2074CB,competency_based,4,3,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_3056CB_COMPETENCY_BASED_T04_R03_A,wps_competency_3056.docx,3056CB,competency_based,4,3,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_2074HY_HYBRID_T04_R02_A,wps_hybrid_2074.docx,2074HY,hybrid,4,2,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_3056HY_HYBRID_T04_R02_A,wps_hybrid_3056.docx,3056HY,hybrid,4,2,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_2074_TIME_BASED_T04_R02_A,wps_time_2074.docx,2074,time_based,4,2,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-003,Administer non-intravenous medications.,mapping_review_required,WPS_3056_TIME_BASED_T04_R02_A,wps_time_3056.docx,3056,time_based,4,2,A. Administer medications to patients and monitor patients for reactions or side effects.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_2074CB_COMPETENCY_BASED_T37_R03_A,wps_competency_2074.docx,2074CB,competency_based,37,3,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_3056CB_COMPETENCY_BASED_T37_R03_A,wps_competency_3056.docx,3056CB,competency_based,37,3,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_2074HY_HYBRID_T37_R02_A,wps_hybrid_2074.docx,2074HY,hybrid,37,2,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_3056HY_HYBRID_T37_R02_A,wps_hybrid_3056.docx,3056HY,hybrid,37,2,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_2074_TIME_BASED_T37_R02_A,wps_time_2074.docx,2074,time_based,37,2,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-004,Advise communities or institutions regarding health or safety issues.,mapping_review_required,WPS_3056_TIME_BASED_T37_R02_A,wps_time_3056.docx,3056,time_based,37,2,A. Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.
RN-WPS-005,Advise medical personnel regarding healthcare issues.,mapping_review_required,WPS_2074CB_COMPETENCY_BASED_T14_R03_A,wps_competency_2074.docx,2074CB,competency_based,14,3,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions."
RN-WPS-005,Advise medical personnel regarding healthcare issues.,mapping_review_required,WPS_3056CB_COMPETENCY_BASED_T14_R03_A,wps_competency_3056.docx,3056CB,competency_based,14,3,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions."
RN-WPS-005,Advise medical personnel regarding healthcare issues.,mapping_review_required,WPS_2074HY_HYBRID_T14_R02_A,wps_hybrid_2074.docx,2074HY,hybrid,14,2,"A. Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions."
